Title,Channel,Category ,Color
What if the World Turned To Gold,Kurzgesagt – In a Nutshell,Education,Green
String Theory,Kurzgesagt – In a Nutshell,Education,Green
The Egg,Kurzgesagt – In a Nutshell,Education,Green
Nuclear Bombs,Kurzgesagt – In a Nutshell,Education,Green
Worm Holes,Kurzgesagt – In a Nutshell,Education,Green
Milk Poison,Kurzgesagt – In a Nutshell,Entertainment,Green
Polution,Kurzgesagt – In a Nutshell,Education,Green
Bacteria,Kurzgesagt – In a Nutshell,Education,Green
Largest Star,Kurzgesagt – In a Nutshell,Education,Green
Fusion,Kurzgesagt – In a Nutshell,Education,Green
Anti-Biotics,Kurzgesagt – In a Nutshell,Education,Green
Communists,Crash Course,Education,Green
Democracy ,Crash Course,Education,Green
Russian Revolution,Crash Course,Education,Green
French Revolution,Crash Course,Education,Green
World War II,Crash Course,Education,Green
Fall of the Roman Empire,Crash Course,Education,Green
Acient Rome in 20 minutes,Arzamas,Education,Green
Multivariable Functions,Khan Academy,Education,Green
Linear Regressions,Khan Academy,Education,Green
Polynomial Equations,Khan Academy,Education,Green
Linear Equations ,Khan Academy,Education,Green
Systems of Equations,Khan Academy,Education,Green
Calculus 2,Khan Academy,Education,Green
Calculus 1,Khan Academy,Education,Green
Voume Density,Khan Academy,Education,Green
Area Density,Khan Academy,Education,Green
Eldon Musk Education does not work,David Business,Entertainment,Yellow
Michelle Obama Advice to Students,The Outcome,Entertainment,Yellow
Noam Chomsky - On Being Truly Educated,The Brainwaves Audio ,Entertainment,Yellow
Thermodynamics,Khan Academy,Educaiton ,Green
Saturday Study Music,The Outcome,Music,Yellow
Thank you next,Ariana Grande,Music ,Yellow
All in Podcast - Inflation,All - In,News,Yellow 
All in Podcast - Quantum Computing,All - In,News,Yellow
All in Podcast - California ,All - In,News,Yellow
Cringe Complications,PewdiePie,Entertainment,Red
Minecraft Addiction,PewdiePie,Games,Red
Addicted To Eating Mattreses ,PewdiePie,Entertainment,Red
Strangest Video Online,PewdiePie,Entertainment,Red
Funny Game show Fails,PewdiePie,Entertainment,Red
america's chepeast family,PewdiePie,Entertainment,Red
Speedrum Mine craft,PewdiePie,Games,Red
Youtube alogorim needs to be stopped ,PewdiePie,Education ,Red
World's Largest Mystery Box,MrBeast,Entertainment,Red
Videos I could not upload,MrBeast,Entertainment,Red
I searched 100 Dumpsters,MrBeast,Entertainment,Red
Legends of Atlantic,National Geographic,Education,Green
Pain and Purpose,Motiversity,Entertainment,Yellow
Surive or Die,Movie Central,Entertainment,Yellow